,0,1
0,game lắm hack vcl anti-cheat như bìu,False
1,game toàn hack,False
2,h game như cái đầu buồi quấn giẻ h quá khứ kia của anh chỉ toàn là những giá băng quá khứ kia của anh chỉ là người luôn sống trong đợi chờ em sẽ không về đâu thats what u say em sẽ không về đâu đừng chờ đợi những giấc mơ trong giấc mơ của anh giờ chẳng tìm thấy lối ra trong giấc mơ của anh giờ toàn là những tháng năm lạnh lùng em có nghe được không tel me where u at em có nghe được không hỡi em,False
3,ahora con el fre to play hay gente antigamer y trol más hackers vuelvan el juego de compra pls,False
4,hack qúa hack,False
5,hay và được,False
6,game như c toàn hacker với cheats bọn lol csgo chúng mày,False
7,game hack nhiều quá càng ngày càng rác thật sự chán quá hồi trước game đẹp bao nhiêu giờ ai cũng có thể hack rồi làm game tệ đi cho dù có prime hay nonprime thì họ cũng sẽ bất chấp để hack steam vắt sữa từ người chơi nhiều quá thay vì có thể làm anti cheat mạnh như faceit hay e thì tốt biết mấy,False
8,game lỗi load không được rồi bị ban p đồng đội chạy vào lửa của tôi và rồi bị ban tiếng gamer toxic thì k ban bắn nhau đạn lạc thì ban,False
9,game hay,False
10,vac anti-check vô lý tự dưng lại band,False
11,game đầu buồi,False
12,đm game như loz quả smoke quá vật lý khiến bạn khánh thor của tôi bị mất k,False
13,tại sao tôi lại bị ban trong khi đồng đội bắn tôi tôi kick họ là kết cục là tôi bị ban game xác nhận sao thế,False
14,game hay mà nhiều hack quá,False
15,hay,False
16,game gác,False
17,một trò chơi yêu thích của tôi tuy nhiên vấn nạn hacker quá nhiều nên cũng một phần làm tôi chán nản nhà phát hành làm chưa tốt,False
18,không tối ưu cho những máy cấu hình thấp,False
19,english i got vac for no reason game kicks players for no reason i ned admin to check again now you embaras me with my friends and enemies they laugh at me and cal me cheat hack doing this i wil never trust vac csgo vietnams tôi bị vac khong lý do game kick người chơi không lý do tôi cần quảng trị viên kiểm tra lại bây giờ các ngươi làm tôi mất mặt với bạn bè và kẻ định họ cười tôi và gọi tôi cheat hack làm kiểu này tôi sẽ không bao giờ tin tưởng vac csgo nửa,False
20,i bought thí game before and nơ it s like you re betrayed,False
21,khi game còn phải mua thì hack cheat còn ít vậy mà bây giờ còn mở fre để kéo rating của game rồi game còn nát hơn cả sh t,False
22,lỗi không chơi được game,False
23,game rất buồn cười làm tôi rớt con mẹ nó cặc,False
24,game bắn súng cùng đồng đội vs,False
25,game rác toàn hack,False
